Anio|Revista|Citas|JCR|Diff
2015|Journal of Artificial Intelligence Research|2536|0|1.659
2016|Journal of Artificial Intelligence Research|3309|0|2.284
2017|Journal of Artificial Intelligence Research|3157|0|1.257
2018|Journal of Artificial Intelligence Research|4004|0|1.82
2019|Journal of Artificial Intelligence Research|4623|52.218|49.777
2020|Journal of Artificial Intelligence Research|2.65|49.038|46.262
2021|Journal of Artificial Intelligence Research|7528|8.913|5.278
2022|Journal of Artificial Intelligence Research|7528|7.102|3.467
2004|Computer Vision and Image Understanding|1348|59.262|58.611
2005|Computer Vision and Image Understanding|1372|56.254|54.786
2006|Computer Vision and Image Understanding|1594|41.994|40.446
2007|Computer Vision and Image Understanding|1770|55.211|53.794
2008|Computer Vision and Image Understanding|2548|66.556|64.336
2009|Computer Vision and Image Understanding|2369|99.362|97.686
2010|Computer Vision and Image Understanding|2859|76.297|73.763
2011|Computer Vision and Image Understanding|2672|29.824|28.484
2012|Computer Vision and Image Understanding|2952|25.36|24.128
2013|Computer Vision and Image Understanding|3098|19.455|18.097
2014|Computer Vision and Image Understanding|3662|24.212|22.672
2015|Computer Vision and Image Understanding|3819|27.115|24.981
2016|Computer Vision and Image Understanding|4829|23.927|21.429
2017|Computer Vision and Image Understanding|5528|20.212|17.821
2018|Computer Vision and Image Understanding|6450|21.727|19.082
2019|Computer Vision and Image Understanding|5691|22.85|19.729
2020|Computer Vision and Image Understanding|3.708|19.649|15.773
2021|Computer Vision and Image Understanding|6562|14.376|9.49
2022|Computer Vision and Image Understanding|6562|8.094|3.208
2004|Intelligent Automation &amp; Soft Computing|63|4.146|4.057
2005|Intelligent Automation &amp; Soft Computing|55|7.5|7.34
2006|Intelligent Automation &amp; Soft Computing|70|7.83|7.476
2007|Intelligent Automation &amp; Soft Computing|65|3.527|3.259
2008|Intelligent Automation &amp; Soft Computing|93|3.712|3.488
2009|Intelligent Automation &amp; Soft Computing|102|3.738|3.389
2010|Intelligent Automation &amp; Soft Computing|76|3.319|3.132
2011|Intelligent Automation &amp; Soft Computing|79|3.442|3.326
2013|Intelligent Automation &amp; Soft Computing|122|3.089|2.9
2014|Intelligent Automation &amp; Soft Computing|175|4.34|4.122
2015|Intelligent Automation &amp; Soft Computing|186|4.74|4.389
2016|Intelligent Automation &amp; Soft Computing|339|4.583|3.939
2017|Intelligent Automation &amp; Soft Computing|363|5.049|4.397
2018|Intelligent Automation &amp; Soft Computing|471|5.256|4.466
2019|Intelligent Automation &amp; Soft Computing|651|4.436|3.16
2020|Intelligent Automation &amp; Soft Computing|1.471|2.948|1.301
2021|Intelligent Automation &amp; Soft Computing|1307|2.973|0.428
2022|Intelligent Automation &amp; Soft Computing|1307|3.641|0.24
2004|IEEE Transactions on Evolutionary Computation|1012|481.366|477.678
2005|IEEE Transactions on Evolutionary Computation|1226|165.492|162.235
2006|IEEE Transactions on Evolutionary Computation|1816|101.786|98.016
2007|IEEE Transactions on Evolutionary Computation|2203|95.086|92.66
2008|IEEE Transactions on Evolutionary Computation|3849|112.608|108.872
2009|IEEE Transactions on Evolutionary Computation|5038|94.021|89.432
2010|IEEE Transactions on Evolutionary Computation|4681|94.413|90.01
2011|IEEE Transactions on Evolutionary Computation|4073|80.834|77.493
2012|IEEE Transactions on Evolutionary Computation|5667|71.428|66.618
2013|IEEE Transactions on Evolutionary Computation|6461|71.1|65.555
2014|IEEE Transactions on Evolutionary Computation|6769|51.721|48.067
2015|IEEE Transactions on Evolutionary Computation|7999|58.727|52.819
2016|IEEE Transactions on Evolutionary Computation|11006|61.584|50.955
2017|IEEE Transactions on Evolutionary Computation|10682|58.934|50.81
2018|IEEE Transactions on Evolutionary Computation|12841|50.677|42.169
2019|IEEE Transactions on Evolutionary Computation|15581|46.228|35.059
2020|IEEE Transactions on Evolutionary Computation|10.403|47.087|35.533
2021|IEEE Transactions on Evolutionary Computation|20841|35.139|18.642
2022|IEEE Transactions on Evolutionary Computation|20841|18.848|2.351
2004|Computing and Informatics|46|0|0.456
2005|Computing and Informatics|39|0|0.091
2006|Computing and Informatics|34|0|0.136
2007|Computing and Informatics|53|0|0.349
2008|Computing and Informatics|95|0|0.492
2009|Computing and Informatics|131|0|0.456
2010|Computing and Informatics|104|0|0.356
2011|Computing and Informatics|94|0|0.239
2012|Computing and Informatics|129|0|0.254
2013|Computing and Informatics|154|0|0.319
2014|Computing and Informatics|246|0|0.504
2015|Computing and Informatics|274|0|0.524
2016|Computing and Informatics|338|0|0.488
2017|Computing and Informatics|367|0|0.41
2018|Computing and Informatics|362|2.95|2.529
2019|Computing and Informatics|350|3.141|2.645
2020|Computing and Informatics|0.303|4.182|3.863
2021|Computing and Informatics|366|0|0.455
2022|Computing and Informatics|366|0|0.455
2004|Medical Image Analysis|1057|69.134|65.922
2005|Medical Image Analysis|1202|52.812|49.663
2006|Medical Image Analysis|1412|52.894|49.638
2007|Medical Image Analysis|1681|56.718|53.213
2008|Medical Image Analysis|2253|56.211|52.609
2009|Medical Image Analysis|2307|80.983|77.89
2010|Medical Image Analysis|2901|84.8|80.436
2011|Medical Image Analysis|2995|64.687|60.263
2012|Medical Image Analysis|3238|61.827|57.74
2013|Medical Image Analysis|3925|55.836|52.155
2014|Medical Image Analysis|4058|51.423|47.769
2015|Medical Image Analysis|4764|45.409|40.844
2016|Medical Image Analysis|5539|42.678|38.49
2017|Medical Image Analysis|6383|42.27|36.914
2018|Medical Image Analysis|7694|83.157|74.277
2019|Medical Image Analysis|9028|81.193|70.045
2020|Medical Image Analysis|8.03|50.07|41.525
2021|Medical Image Analysis|16080|44.775|30.947
2022|Medical Image Analysis|16080|23.006|9.178
2004|Neural Processing Letters|248|25.826|25.221
2005|Neural Processing Letters|262|25.959|25.258
2006|Neural Processing Letters|349|13.684|12.931
2007|Neural Processing Letters|420|13.055|12.475
2008|Neural Processing Letters|564|16.857|15.915
2009|Neural Processing Letters|634|21.583|20.568
2010|Neural Processing Letters|567|18.338|17.25
2011|Neural Processing Letters|601|14.797|14.047
2012|Neural Processing Letters|671|13.816|12.576
2013|Neural Processing Letters|755|17.961|16.724
2014|Neural Processing Letters|840|20.648|19.2
2015|Neural Processing Letters|934|17.563|15.816
2016|Neural Processing Letters|1153|16.624|15.004
2017|Neural Processing Letters|1487|14.838|13.051
2018|Neural Processing Letters|2140|13.498|10.907
2019|Neural Processing Letters|2606|12.596|9.705
2020|Neural Processing Letters|2.414|10.776|7.868
2021|Neural Processing Letters|4028|8.939|6.374
2022|Neural Processing Letters|4028|6.555|3.99
2004|Journal of Heuristics|297|51.018|49.905
2005|Journal of Heuristics|285|46.1|45.549
2006|Journal of Heuristics|352|40.0|39.26
2007|Journal of Heuristics|408|24.609|23.965
2008|Journal of Heuristics|586|28.125|27.061
2009|Journal of Heuristics|764|27.056|25.792
2010|Journal of Heuristics|629|44.873|43.25
2011|Journal of Heuristics|615|43.485|42.223
2012|Journal of Heuristics|791|32.279|30.808
2013|Journal of Heuristics|843|30.387|29.028
2014|Journal of Heuristics|876|21.973|20.838
2015|Journal of Heuristics|936|22.515|21.171
2016|Journal of Heuristics|1168|18.93|17.123
2017|Journal of Heuristics|1122|14.032|12.903
2018|Journal of Heuristics|1187|12.882|11.49
2019|Journal of Heuristics|1239|10.865|9.288
2020|Journal of Heuristics|1.636|9.109|7.427
2021|Journal of Heuristics|1519|8.088|5.841
2022|Journal of Heuristics|1519|5.931|3.684
2004|Data Mining and Knowledge Discovery|653|128.529|125.729
2005|Data Mining and Knowledge Discovery|741|122.244|120.139
2006|Data Mining and Knowledge Discovery|882|103.489|101.194
2007|Data Mining and Knowledge Discovery|1026|68.66|66.24
2008|Data Mining and Knowledge Discovery|1470|90.561|88.14
2009|Data Mining and Knowledge Discovery|1822|73.393|70.443
2010|Data Mining and Knowledge Discovery|1509|41.262|40.024
2011|Data Mining and Knowledge Discovery|1317|46.859|45.314
2012|Data Mining and Knowledge Discovery|1684|57.582|54.705
2013|Data Mining and Knowledge Discovery|1717|60.32|58.577
2014|Data Mining and Knowledge Discovery|2064|43.141|41.154
2015|Data Mining and Knowledge Discovery|2320|37.402|34.688
2016|Data Mining and Knowledge Discovery|3172|41.459|38.299
2017|Data Mining and Knowledge Discovery|2876|37.606|35.125
2018|Data Mining and Knowledge Discovery|3506|30.481|27.602
2019|Data Mining and Knowledge Discovery|3566|22.188|19.559
2020|Data Mining and Knowledge Discovery|3.365|22.703|19.033
2021|Data Mining and Knowledge Discovery|5039|23.826|18.42
2022|Data Mining and Knowledge Discovery|5039|10.213|4.807
2004|Autonomous Agents and Multi-Agent Systems|269|27.696|26.249
2005|Autonomous Agents and Multi-Agent Systems|336|56.837|54.232
2006|Autonomous Agents and Multi-Agent Systems|321|76.878|74.904
2007|Autonomous Agents and Multi-Agent Systems|364|54.436|53.096
2008|Autonomous Agents and Multi-Agent Systems|518|40.792|38.667
2009|Autonomous Agents and Multi-Agent Systems|551|37.66|36.15
2010|Autonomous Agents and Multi-Agent Systems|524|39.355|37.252
2011|Autonomous Agents and Multi-Agent Systems|419|28.672|27.459
2012|Autonomous Agents and Multi-Agent Systems|500|22.859|22.069
2013|Autonomous Agents and Multi-Agent Systems|560|18.985|17.877
2014|Autonomous Agents and Multi-Agent Systems|583|20.417|19.163
2015|Autonomous Agents and Multi-Agent Systems|746|20.036|18.619
2016|Autonomous Agents and Multi-Agent Systems|827|14.143|12.537
2017|Autonomous Agents and Multi-Agent Systems|756|13.375|12.199
2018|Autonomous Agents and Multi-Agent Systems|877|12.184|10.765
2019|Autonomous Agents and Multi-Agent Systems|849|8.217|6.875
2020|Autonomous Agents and Multi-Agent Systems|1.216|11.213|9.782
2021|Autonomous Agents and Multi-Agent Systems|1157|8.175|5.7
2022|Autonomous Agents and Multi-Agent Systems|1157|4.101|1.626
2004|Soft Computing|162|8.467|8.134
2005|Soft Computing|238|9.891|9.353
2006|Soft Computing|312|26.427|25.911
2007|Soft Computing|352|22.534|21.927
2008|Soft Computing|723|18.973|17.989
2009|Soft Computing|1096|19.748|18.42
2010|Soft Computing|1045|27.71|26.198
2011|Soft Computing|1185|29.888|28.008
2012|Soft Computing|1380|22.844|21.72
2013|Soft Computing|1706|18.977|17.673
2014|Soft Computing|1978|18.233|16.962
2015|Soft Computing|2517|18.089|16.459
2016|Soft Computing|3679|17.323|14.851
2017|Soft Computing|4456|18.758|16.391
2018|Soft Computing|6483|17.276|14.492
2019|Soft Computing|8859|16.346|13.296
2020|Soft Computing|3.039|14.836|11.193
2021|Soft Computing|17142|12.244|8.512
2022|Soft Computing|17142|9.094|5.362
2004|Pattern Analysis and Applications|158|30.952|30.149
2005|Pattern Analysis and Applications|205|28.055|27.273
2006|Pattern Analysis and Applications|195|20.11|19.71
2007|Pattern Analysis and Applications|246|30.158|29.643
2008|Pattern Analysis and Applications|402|29.017|27.65
2009|Pattern Analysis and Applications|471|18.105|16.812
2010|Pattern Analysis and Applications|433|20.672|19.575
2011|Pattern Analysis and Applications|372|25.735|24.996
2012|Pattern Analysis and Applications|411|21.257|20.443
2013|Pattern Analysis and Applications|464|12.045|11.303
2014|Pattern Analysis and Applications|522|11.859|11.213
2015|Pattern Analysis and Applications|639|12.115|11.011
2016|Pattern Analysis and Applications|861|12.885|11.533
2017|Pattern Analysis and Applications|869|11.389|10.108
2018|Pattern Analysis and Applications|1065|9.479|8.069
2019|Pattern Analysis and Applications|1197|10.689|9.177
2020|Pattern Analysis and Applications|2.431|10.427|7.847
2021|Pattern Analysis and Applications|2099|8.222|5.915
2022|Pattern Analysis and Applications|2099|9.064|6.757
2004|Advanced Engineering Informatics|621|0|5.952
2005|Advanced Engineering Informatics|904|0|4.027
2006|Advanced Engineering Informatics|1552|0|2.255
2007|Advanced Engineering Informatics|2043|0|2.682
2008|Advanced Engineering Informatics|3328|0|3.116
2009|Advanced Engineering Informatics|4132|0|2.789
2010|Advanced Engineering Informatics|4766|0|2.974
2011|Advanced Engineering Informatics|4764|0|2.561
2012|Advanced Engineering Informatics|6024|0|3.42
2013|Advanced Engineering Informatics|7000|0|2.853
2014|Advanced Engineering Informatics|8422|0|2.473
2015|Advanced Engineering Informatics|10109|0|2.45
2016|Advanced Engineering Informatics|15426|0|5.0
2017|Advanced Engineering Informatics|17586|0|2.281
2018|Advanced Engineering Informatics|25684|0|4.091
2019|Advanced Engineering Informatics|28234|0|3.484
2020|Advanced Engineering Informatics|3.408|0|3.654
2021|Advanced Engineering Informatics|47705|0|5.177
2022|Advanced Engineering Informatics|47705|0|5.177
2005|Journal of Chemometrics|1269|72.664|70.789
2006|Journal of Chemometrics|1564|38.516|37.174
2007|Journal of Chemometrics|1758|41.942|40.575
2008|Journal of Chemometrics|1973|32.61|31.195
2009|Journal of Chemometrics|2095|19.981|18.69
2010|Journal of Chemometrics|2186|24.236|22.859
2011|Journal of Chemometrics|2422|22.927|20.975
2012|Journal of Chemometrics|2658|21.532|19.595
2013|Journal of Chemometrics|2822|17.623|15.82
2014|Journal of Chemometrics|3151|10.408|8.908
2015|Journal of Chemometrics|3193|12.866|10.993
2016|Journal of Chemometrics|3171|14.639|12.755
2017|Journal of Chemometrics|3171|9.924|8.424
2018|Journal of Chemometrics|3900|7.187|5.34
2019|Journal of Chemometrics|3563|6.891|5.258
2020|Journal of Chemometrics|2.225|6.343|3.876
2021|Journal of Chemometrics|4544|4.953|2.453
2022|Journal of Chemometrics|4544|3.525|1.025
2005|Constraints|107|15.613|14.899
2006|Constraints|153|13.438|12.678
2007|Constraints|164|19.615|18.646
2008|Constraints|178|16.447|15.568
2009|Constraints|307|15.487|14.19
2010|Constraints|268|20.31|18.9
2011|Constraints|188|16.66|16.001
2012|Constraints|213|17.927|17.19
2013|Constraints|239|18.312|17.16
2014|Constraints|291|12.629|11.372
2015|Constraints|245|9.351|8.729
2016|Constraints|365|4.033|2.979
2017|Constraints|262|5.423|4.763
2018|Constraints|267|7.148|6.042
2019|Constraints|255|8.756|7.589
2020|Constraints|1.536|9.367|7.688
2021|Constraints|332|2.083|1.5
2022|Constraints|332|1.824|1.241
2005|IEEE Intelligent Systems|1065|33.304|30.744
2006|IEEE Intelligent Systems|1120|29.417|27.004
2007|IEEE Intelligent Systems|1247|29.573|28.135
2008|IEEE Intelligent Systems|1796|33.207|30.929
2009|IEEE Intelligent Systems|2214|29.355|26.211
2010|IEEE Intelligent Systems|1661|22.881|20.311
2011|IEEE Intelligent Systems|1461|20.911|18.757
2012|IEEE Intelligent Systems|1626|19.541|17.611
2013|IEEE Intelligent Systems|1648|17.109|15.189
2014|IEEE Intelligent Systems|1696|25.032|22.692
2015|IEEE Intelligent Systems|1882|23.906|20.374
2016|IEEE Intelligent Systems|2577|13.386|11.012
2017|IEEE Intelligent Systems|2638|19.092|16.496
2018|IEEE Intelligent Systems|3053|20.596|16.132
2019|IEEE Intelligent Systems|3141|12.874|9.664
2020|IEEE Intelligent Systems|3.365|7.871|4.466
2021|IEEE Intelligent Systems|4316|8.108|1.364
2022|IEEE Intelligent Systems|4316|6.462|0.282
2006|Knowledge and Information Systems|214|44.687|43.854
2007|Knowledge and Information Systems|270|44.215|43.371
2008|Knowledge and Information Systems|550|37.899|36.166
2009|Knowledge and Information Systems|773|65.406|63.195
2010|Knowledge and Information Systems|727|51.26|49.252
2011|Knowledge and Information Systems|880|25.493|23.268
2013|Knowledge and Information Systems|1436|27.488|24.849
2014|Knowledge and Information Systems|1565|26.829|25.047
2015|Knowledge and Information Systems|1559|24.819|23.117
2016|Knowledge and Information Systems|2146|24.702|22.698
2017|Knowledge and Information Systems|2343|22.48|20.233
2018|Knowledge and Information Systems|3006|20.325|17.928
2019|Knowledge and Information Systems|3242|20.719|17.783
2020|Knowledge and Information Systems|2.701|13.597|10.775
2021|Knowledge and Information Systems|4789|9.302|6.771
2022|Knowledge and Information Systems|4789|5.967|3.436
2006|International Journal of Information Technology &amp; Decision Making|101|13.398|12.58
2007|International Journal of Information Technology &amp; Decision Making|145|20.225|19.507
2008|International Journal of Information Technology &amp; Decision Making|234|18.435|17.482
2009|International Journal of Information Technology &amp; Decision Making|322|13.91|12.598
2010|International Journal of Information Technology &amp; Decision Making|534|20.443|17.304
2013|International Journal of Information Technology &amp; Decision Making|568|19.061|17.171
2014|International Journal of Information Technology &amp; Decision Making|669|15.052|13.646
2015|International Journal of Information Technology &amp; Decision Making|627|10.525|9.342
2016|International Journal of Information Technology &amp; Decision Making|742|12.322|10.658
2017|International Journal of Information Technology &amp; Decision Making|852|16.15|14.395
2018|International Journal of Information Technology &amp; Decision Making|1130|15.15|12.288
2019|International Journal of Information Technology &amp; Decision Making|1248|9.9|8.006
2020|International Journal of Information Technology &amp; Decision Making|2.087|8.95|6.73
2021|International Journal of Information Technology &amp; Decision Making|1705|9.756|6.248
2022|International Journal of Information Technology &amp; Decision Making|1705|7.75|4.242
2006|Computational Linguistics|834|42.729|40.929
2007|Computational Linguistics|992|40.067|37.7
2008|Computational Linguistics|1286|38.329|35.673
2009|Computational Linguistics|1467|44.683|42.471
2010|Computational Linguistics|1320|37.194|34.223
2011|Computational Linguistics|920|22.344|21.623
2013|Computational Linguistics|1200|55.483|54.015
2014|Computational Linguistics|1407|20.78|19.554
2015|Computational Linguistics|1610|24.683|22.666
2016|Computational Linguistics|2235|25.138|22.61
2017|Computational Linguistics|1864|16.707|15.388
2018|Computational Linguistics|2138|12.305|10.175
2019|Computational Linguistics|2426|10.742|8.232
2020|Computational Linguistics|2.188|7.137|4.866
2021|Computational Linguistics|2694|9.154|1.376
2022|Computational Linguistics|2694|6.105|1.673
2006|Adaptive Behavior|262|32.146|30.714
2007|Adaptive Behavior|335|28.783|27.759
2008|Adaptive Behavior|434|28.82|27.668
2009|Adaptive Behavior|543|26.92|25.009
2010|Adaptive Behavior|470|15.508|14.372
2011|Adaptive Behavior|395|13.354|12.335
2012|Adaptive Behavior|490|15.36|14.247
2013|Adaptive Behavior|453|15.566|14.415
2014|Adaptive Behavior|465|13.167|12.308
2015|Adaptive Behavior|485|10.597|9.499
2016|Adaptive Behavior|630|8.081|7.062
2017|Adaptive Behavior|583|9.887|8.887
2018|Adaptive Behavior|654|11.2|9.838
2019|Adaptive Behavior|607|6.065|5.136
2020|Adaptive Behavior|1.769|5.443|3.501
2021|Adaptive Behavior|853|5.012|3.145
2022|Adaptive Behavior|853|4.291|2.424
2006|Applied Soft Computing|152|26.975|26.126
2007|Applied Soft Computing|267|33.288|31.751
2008|Applied Soft Computing|606|43.978|42.069
2009|Applied Soft Computing|1079|54.71|52.295
2010|Applied Soft Computing|1206|54.244|52.147
2011|Applied Soft Computing|2070|50.27|47.658
2012|Applied Soft Computing|3117|47.633|45.493
2013|Applied Soft Computing|4632|44.178|41.499
2014|Applied Soft Computing|6210|40.548|37.738
2015|Applied Soft Computing|8176|39.331|36.474
2016|Applied Soft Computing|12027|39.452|35.911
2017|Applied Soft Computing|14474|39.002|35.095
2018|Applied Soft Computing|19765|36.607|31.734
2019|Applied Soft Computing|24071|34.376|28.904
2020|Applied Soft Computing|6.019|29.947|23.222
2021|Applied Soft Computing|41240|24.916|16.653
2022|Applied Soft Computing|41240|17.727|9.464
2007|International Journal of Neural Systems|347|13.655|13.167
2008|International Journal of Neural Systems|493|22.977|22.076
2009|International Journal of Neural Systems|669|26.802|23.814
2010|International Journal of Neural Systems|816|29.265|25.028
2011|International Journal of Neural Systems|770|33.587|29.303
2012|International Journal of Neural Systems|992|31.476|26.422
2013|International Journal of Neural Systems|1045|35.321|29.265
2014|International Journal of Neural Systems|1154|35.487|28.98
2015|International Journal of Neural Systems|1235|37.193|31.108
2016|International Journal of Neural Systems|1503|35.773|29.44
2017|International Journal of Neural Systems|1622|29.581|25.001
2018|International Journal of Neural Systems|2035|32.043|25.643
2019|International Journal of Neural Systems|1963|28.667|23.063
2020|International Journal of Neural Systems|4.17|21.0|15.134
2021|International Journal of Neural Systems|2891|16.135|9.81
2022|International Journal of Neural Systems|2891|12.065|5.74
2007|Intelligent Data Analysis|286|11.2|10.754
2008|Intelligent Data Analysis|377|25.025|24.599
2009|Intelligent Data Analysis|526|24.705|23.776
2010|Intelligent Data Analysis|427|9.818|9.406
2011|Intelligent Data Analysis|381|7.847|7.399
2012|Intelligent Data Analysis|463|7.402|6.93
2013|Intelligent Data Analysis|477|7.365|6.865
2014|Intelligent Data Analysis|572|6.767|6.161
2015|Intelligent Data Analysis|637|6.652|6.021
2016|Intelligent Data Analysis|822|6.181|5.409
2017|Intelligent Data Analysis|772|5.712|5.021
2018|Intelligent Data Analysis|964|5.427|4.815
2019|Intelligent Data Analysis|1000|5.085|4.434
2020|Intelligent Data Analysis|0.76|4.634|3.774
2021|Intelligent Data Analysis|1544|3.989|2.668
2022|Intelligent Data Analysis|1544|2.349|1.028
2007|Neural Network World|113|0|0.28
2008|Neural Network World|174|0|0.395
2009|Neural Network World|180|0|0.475
2010|Neural Network World|200|0|0.511
2011|Neural Network World|209|0|0.646
2012|Neural Network World|150|0|0.362
2013|Neural Network World|179|0|0.412
2014|Neural Network World|197|0|0.479
2015|Neural Network World|216|5.225|4.663
2016|Neural Network World|251|5.155|4.761
2017|Neural Network World|264|6.121|5.621
2018|Neural Network World|326|6.391|5.434
2019|Neural Network World|289|5.466|4.831
2020|Neural Network World|1.357|6.204|4.686
2021|Neural Network World|383|5.968|4.664
2022|Neural Network World|383|1.2|0.104
2007|Cognitive Systems Research|150|13.346|12.235
2008|Cognitive Systems Research|194|13.591|12.01
2009|Cognitive Systems Research|251|10.842|10.271
2010|Cognitive Systems Research|223|29.127|28.127
2011|Cognitive Systems Research|228|27.914|26.741
2012|Cognitive Systems Research|290|16.178|15.428
2013|Cognitive Systems Research|354|9.714|8.96
2014|Cognitive Systems Research|408|10.947|10.116
2015|Cognitive Systems Research|407|11.7|10.496
2016|Cognitive Systems Research|492|6.297|5.115
2017|Cognitive Systems Research|508|9.283|7.858
2021|Cognitive Systems Research|2101|16.687|12.146
2007|IEEE Computational Intelligence Magazine|36|44.437|43.151
2008|IEEE Computational Intelligence Magazine|123|30.718|28.183
2009|IEEE Computational Intelligence Magazine|283|11.982|9.36
2010|IEEE Computational Intelligence Magazine|385|17.034|14.129
2011|IEEE Computational Intelligence Magazine|313|23.872|20.504
2012|IEEE Computational Intelligence Magazine|495|16.12|11.491
2013|IEEE Computational Intelligence Magazine|488|7.903|5.197
2014|IEEE Computational Intelligence Magazine|600|8.162|5.591
2015|IEEE Computational Intelligence Magazine|634|13.463|9.816
2016|IEEE Computational Intelligence Magazine|872|16.768|10.425
2017|IEEE Computational Intelligence Magazine|980|12.388|5.777
2018|IEEE Computational Intelligence Magazine|1333|12.633|6.776
2019|IEEE Computational Intelligence Magazine|1538|21.136|12.053
2020|IEEE Computational Intelligence Magazine|11.267|16.392|5.036
2021|IEEE Computational Intelligence Magazine|2720|7.428|2.381
2022|IEEE Computational Intelligence Magazine|2720|4.971|4.838
2007|Journal of Web Semantics|328|68.34|64.93
2008|Journal of Web Semantics|438|85.208|82.185
2009|Journal of Web Semantics|651|93.371|89.959
2010|Journal of Web Semantics|578|78.191|75.402
2011|Journal of Web Semantics|498|64.259|62.957
2012|Journal of Web Semantics|657|35.536|34.305
2013|Journal of Web Semantics|651|43.588|42.211
2014|Journal of Web Semantics|777|41.474|38.924
2015|Journal of Web Semantics|815|21.441|20.164
2016|Journal of Web Semantics|1091|17.512|16.437
2017|Journal of Web Semantics|961|22.023|20.675
2018|Journal of Web Semantics|1162|20.921|18.492
2019|Journal of Web Semantics|1207|11.213|8.975
2020|Journal of Web Semantics|1.828|7.316|5.419
2021|Journal of Web Semantics|1110|6.076|3.306
2022|Journal of Web Semantics|1110|3.981|1.211
2007|IET Computer Vision|1|0|0.083
2008|IET Computer Vision|9|25.583|24.916
2009|IET Computer Vision|33|15.647|14.678
2010|IET Computer Vision|37|14.429|13.982
2011|IET Computer Vision|54|17.435|16.799
2012|IET Computer Vision|106|15.821|15.185
2013|IET Computer Vision|156|14.881|14.123
2014|IET Computer Vision|232|14.4|13.437
2015|IET Computer Vision|284|0|0.573
2016|IET Computer Vision|487|0|0.878
2017|IET Computer Vision|555|0.0|1.087
2018|IET Computer Vision|883|7.333|5.685
2019|IET Computer Vision|990|9.667|8.151
2020|IET Computer Vision|1.891|3.5|1.55
2021|IET Computer Vision|1196|2.523|1.039
2022|IET Computer Vision|1196|2.376|0.892
2008|International Journal on Document Analysis and Recognition (IJDAR)|204|38.088|37.179
2009|International Journal on Document Analysis and Recognition (IJDAR)|311|36.449|35.236
2010|International Journal on Document Analysis and Recognition (IJDAR)|253|24.114|23.023
2011|International Journal on Document Analysis and Recognition (IJDAR)|181|24.911|24.506
2012|International Journal on Document Analysis and Recognition (IJDAR)|238|20.423|19.623
2013|International Journal on Document Analysis and Recognition (IJDAR)|303|21.44|20.583
2014|International Journal on Document Analysis and Recognition (IJDAR)|355|27.109|26.109
2015|International Journal on Document Analysis and Recognition (IJDAR)|342|22.057|21.172
2016|International Journal on Document Analysis and Recognition (IJDAR)|461|20.673|19.771
2017|International Journal on Document Analysis and Recognition (IJDAR)|506|17.255|15.957
2018|International Journal on Document Analysis and Recognition (IJDAR)|606|9.711|8.865
2019|International Journal on Document Analysis and Recognition (IJDAR)|518|12.629|11.143
2020|International Journal on Document Analysis and Recognition (IJDAR)|2.064|14.417|12.332
2021|International Journal on Document Analysis and Recognition (IJDAR)|930|12.255|8.385
2022|International Journal on Document Analysis and Recognition (IJDAR)|930|6.537|2.667
2008|International Journal on Semantic Web and Information Systems|78|28.057|26.164
2009|International Journal on Semantic Web and Information Systems|167|18.861|16.516
2010|International Journal on Semantic Web and Information Systems|123|82.486|80.807
2011|International Journal on Semantic Web and Information Systems|134|90.97|88.662
2012|International Journal on Semantic Web and Information Systems|166|7.833|7.583
2013|International Journal on Semantic Web and Information Systems|189|22.222|21.829
2014|International Journal on Semantic Web and Information Systems|247|20.128|19.225
2015|International Journal on Semantic Web and Information Systems|280|14.784|14.163
2016|International Journal on Semantic Web and Information Systems|366|13.824|12.324
2017|International Journal on Semantic Web and Information Systems|309|5.865|5.072
2018|International Journal on Semantic Web and Information Systems|311|10.0|8.167
2019|International Journal on Semantic Web and Information Systems|397|7.868|6.126
2020|International Journal on Semantic Web and Information Systems|0.686|3.964|3.121
2021|International Journal on Semantic Web and Information Systems|357|6.3|4.822
2022|International Journal on Semantic Web and Information Systems|357|5.827|4.349
2008|Information Fusion|472|50.446|48.389
2009|Information Fusion|536|50.943|48.731
2010|Information Fusion|620|31.612|29.991
2011|Information Fusion|626|24.253|22.786
2012|Information Fusion|840|30.809|28.547
2013|Information Fusion|1020|37.675|34.203
2014|Information Fusion|1402|47.041|43.36
2015|Information Fusion|1637|53.899|49.546
2016|Information Fusion|2519|52.646|46.979
2017|Information Fusion|3303|56.402|49.763
2018|Information Fusion|4746|80.048|69.332
2019|Information Fusion|6409|80.079|66.41
2020|Information Fusion|11.907|58.137|45.162
2021|Information Fusion|13268|51.248|33.684
2022|Information Fusion|13268|35.916|18.352
2009|Traitement du Signal|78|0|0.121
2010|Traitement du Signal|49|0|0.078
2011|Traitement du Signal|74|0.8|0.739
2012|Traitement du Signal|64|0.514|0.356
2013|Traitement du Signal|52|0.568|0.545
2014|Traitement du Signal|50|0.692|0.589
2015|Traitement du Signal|37|0.364|0.364
2016|Traitement du Signal|72|0.286|0.258
2017|Traitement du Signal|51|0.412|0.355
2019|Traitement du Signal|100|3.061|1.52
2020|Traitement du Signal|1.989|5.804|3.215
2021|Traitement du Signal|564|4.653|2.354
2022|Traitement du Signal|564|2.706|0.407
2009|Genetic Programming and Evolvable Machines|58|21.261|20.17
2010|Genetic Programming and Evolvable Machines|102|16.75|15.583
2011|Genetic Programming and Evolvable Machines|91|35.757|34.757
