Rank,Full Journal Title,JCR Abbreviated Title,Category,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Eigenfactor Score,Article Influence Score,Average Journal Impact Factor Percentile
113,CIRCULATION RESEARCH,CIRC RES,CARDIAC & CARDIOVASCULAR SYSTEMS,0009-7330,"52,753",15.211,14.416,13.313,3.944,0.082820,4.842,98.085
113,CIRCULATION RESEARCH,CIRC RES,HEMATOLOGY,0009-7330,"52,753",15.211,14.416,13.313,3.944,0.082820,4.842,98.085
113,CIRCULATION RESEARCH,CIRC RES,PERIPHERAL VASCULAR DISEASE,0009-7330,"52,753",15.211,14.416,13.313,3.944,0.082820,4.842,98.085
114,Nature Reviews Cardiology,NAT REV CARDIOL,CARDIAC & CARDIOVASCULAR SYSTEMS,1759-5002,"5,228",15.162,14.867,13.249,5.38,0.018210,5.064,96.484
115,BLOOD,BLOOD,HEMATOLOGY,0006-4971,"167,858",15.132,14.024,12.365,3.478,0.278040,4.516,97.887
116,BEHAVIORAL AND BRAIN SCIENCES,BEHAV BRAIN SCI,NEUROSCIENCES,0140-525X,"8,900",15.071,14.821,21.181,4.375,0.010130,8.862,97.254
116,BEHAVIORAL AND BRAIN SCIENCES,BEHAV BRAIN SCI,BEHAVIORAL SCIENCES,0140-525X,"8,900",15.071,14.821,21.181,4.375,0.010130,8.862,97.254
116,BEHAVIORAL AND BRAIN SCIENCES,BEHAV BRAIN SCI,"PSYCHOLOGY, BIOLOGICAL",0140-525X,"8,900",15.071,14.821,21.181,4.375,0.010130,8.862,97.254
118,INTENSIVE CARE MEDICINE,INTENS CARE MED,CRITICAL CARE MEDICINE,0342-4642,"22,135",15.008,12.556,10.837,7.84,0.037580,3.438,92.424
119,Annual Review of Medicine,ANNU REV MED,"MEDICINE, RESEARCH & EXPERIMENTAL",0066-4219,"6,111",14.970,14.939,12.590,3.273,0.010320,4.513,98.120
120,JOURNAL OF HEPATOLOGY,J HEPATOL,GASTROENTEROLOGY & HEPATOLOGY,0168-8278,"37,108",14.911,14.009,12.682,6.045,0.087330,4.125,95.625
121,Annual Review of Fluid Mechanics,ANNU REV FLUID MECH,MECHANICS,0066-4189,"11,622",14.814,14.674,17.171,6.261,0.011710,7.660,99.007
121,Annual Review of Fluid Mechanics,ANNU REV FLUID MECH,"PHYSICS, FLUIDS & PLASMAS",0066-4189,"11,622",14.814,14.674,17.171,6.261,0.011710,7.660,99.007
122,Annual Review of Neuroscience,ANNU REV NEUROSCI,NEUROSCIENCES,0147-006X,"13,320",14.675,14.525,19.878,2.444,0.016110,10.168,97.893
123,COORDINATION CHEMISTRY REVIEWS,COORDIN CHEM REV,"CHEMISTRY, INORGANIC & NUCLEAR",0010-8545,"30,949",14.499,14.021,13.215,3.548,0.034950,3.092,98.889
124,Nature Geoscience,NAT GEOSCI,"GEOSCIENCES, MULTIDISCIPLINARY",1752-0894,"20,386",14.391,14.068,14.846,2.838,0.078890,7.424,99.735
125,Physical Review X,PHYS REV X,"PHYSICS, MULTIDISCIPLINARY",2160-3308,"10,288",14.385,14.008,12.441,2.89,0.069590,6.742,95.513
126,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,J AM CHEM SOC,"CHEMISTRY, MULTIDISCIPLINARY",0002-7863,"533,512",14.357,13.329,13.613,2.913,0.728530,3.957,95.614
127,Annual Review of Physiology,ANNU REV PHYSIOL,PHYSIOLOGY,0066-4278,"9,111",14.327,14.265,17.000,5.963,0.013180,7.532,98.193
128,NEURON,NEURON,NEUROSCIENCES,0896-6273,"89,410",14.318,13.539,16.075,3.041,0.216730,8.382,97.510
129,REPORTS ON PROGRESS IN PHYSICS,REP PROG PHYS,"PHYSICS, MULTIDISCIPLINARY",0034-4885,"15,949",14.257,14.191,16.214,4.878,0.030530,6.880,94.231
130,MOLECULAR CELL,MOL CELL,CELL BIOLOGY,1097-2765,"61,604",14.248,13.718,14.703,3.292,0.181170,8.480,96.466
130,MOLECULAR CELL,MOL CELL,BIOCHEMISTRY & MOLECULAR BIOLOGY,1097-2765,"61,604",14.248,13.718,14.703,3.292,0.181170,8.480,96.466
131,TRENDS IN IMMUNOLOGY,TRENDS IMMUNOL,IMMUNOLOGY,1471-4906,"11,204",14.188,13.986,13.126,3.123,0.026850,5.458,97.097
132,Nature Microbiology,NAT MICROBIOL,MICROBIOLOGY,2058-5276,"2,510",14.174,13.705,14.182,3.611,0.013670,7.515,97.200
133,PROGRESS IN NEUROBIOLOGY,PROG NEUROBIOL,NEUROSCIENCES,0301-0082,"13,065",14.163,13.775,13.530,3.179,0.015550,4.212,97.126
134,Chem,CHEM-US,"CHEMISTRY, MULTIDISCIPLINARY",2451-9294,997,14.104,13.417,14.104,3.077,0.003220,4.871,95.029
135,Nature Reviews Nephrology,NAT REV NEPHROL,UROLOGY & NEPHROLOGY,1759-5061,"4,668",14.101,13.606,12.170,4.522,0.017100,4.595,98.026
136,HEPATOLOGY,HEPATOLOGY,GASTROENTEROLOGY & HEPATOLOGY,0270-9139,"63,302",14.079,13.440,11.889,3.572,0.103360,4.025,94.375
137,FUNGAL DIVERSITY,FUNGAL DIVERS,MYCOLOGY,1560-2745,"4,078",14.078,11.156,9.409,6.381,0.006670,2.153,98.276
138,ANNALS OF ONCOLOGY,ANN ONCOL,ONCOLOGY,0923-7534,"38,738",13.926,13.471,10.571,2.645,0.095780,3.420,96.171
139,Annual Review of Entomology,ANNU REV ENTOMOL,ENTOMOLOGY,0066-4170,"12,338",13.860,13.772,15.613,3.875,0.009360,4.959,99.479
140,Nature Chemical Biology,NAT CHEM BIOL,BIOCHEMISTRY & MOLECULAR BIOLOGY,1552-4450,"19,562",13.843,13.538,13.990,4.045,0.061240,6.563,98.116
141,Physics of Life Reviews,PHYS LIFE REV,BIOLOGY,1571-0645,"1,381",13.783,12.652,11.067,20.6,0.002960,3.586,99.359
141,Physics of Life Reviews,PHYS LIFE REV,BIOPHYSICS,1571-0645,"1,381",13.783,12.652,11.067,20.6,0.002960,3.586,99.359
142,Annual Review of Physical Chemistry,ANNU REV PHYS CHEM,"CHEMISTRY, PHYSICAL",0066-426X,"8,793",13.738,13.590,16.379,2.68,0.014200,7.109,96.233
143,ACS Nano,ACS NANO,"CHEMISTRY, PHYSICAL",1936-0851,"134,596",13.709,13.041,14.820,2.301,0.346500,4.045,95.266
143,ACS Nano,ACS NANO,"CHEMISTRY, MULTIDISCIPLINARY",1936-0851,"134,596",13.709,13.041,14.820,2.301,0.346500,4.045,95.266
143,ACS Nano,ACS NANO,NANOSCIENCE & NANOTECHNOLOGY,1936-0851,"134,596",13.709,13.041,14.820,2.301,0.346500,4.045,95.266
143,ACS Nano,ACS NANO,MATERIALS SCIENCE,1936-0851,"134,596",13.709,13.041,14.820,2.301,0.346500,4.045,95.266
144,ADVANCED DRUG DELIVERY REVIEWS,ADV DRUG DELIVER REV,PHARMACOLOGY & PHARMACY,0169-409X,"34,931",13.660,13.482,17.280,3.204,0.043050,4.036,99.042
145,Light-Science & Applications,LIGHT-SCI APPL,OPTICS,2047-7538,"4,249",13.625,13.382,15.141,2.471,0.015700,4.331,97.340
146,TRENDS IN BIOTECHNOLOGY,TRENDS BIOTECHNOL,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,0167-7799,"14,746",13.578,13.245,14.635,3.131,0.019170,3.876,98.438
147,REVIEWS OF GEOPHYSICS,REV GEOPHYS,GEOCHEMISTRY & GEOPHYSICS,8755-1209,"10,115",13.529,13.176,18.286,2.724,0.012760,8.268,99.412
148,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,MICROBIOL MOL BIOL R,MICROBIOLOGY,1092-2172,"11,301",13.439,13.386,17.537,2.05,0.012060,6.534,96.400
149,DIABETES CARE,DIABETES CARE,ENDOCRINOLOGY & METABOLISM,0149-5992,"67,278",13.397,12.699,10.740,5.324,0.110140,3.800,96.853
150,AMERICAN JOURNAL OF PSYCHIATRY,AM J PSYCHIAT,PSYCHIATRY-SSCI,0002-953X,"42,369",13.391,13.068,13.918,3.773,0.037870,5.346,97.535
150,AMERICAN JOURNAL OF PSYCHIATRY,AM J PSYCHIAT,PSYCHIATRY-SSCI,0002-953X,"42,369",13.391,13.068,13.918,3.773,0.037870,5.346,97.535
152,NATURE STRUCTURAL & MOLECULAR BIOLOGY,NAT STRUCT MOL BIOL,CELL BIOLOGY,1545-9993,"27,547",13.333,13.095,12.816,3.445,0.081820,7.791,96.546
152,NATURE STRUCTURAL & MOLECULAR BIOLOGY,NAT STRUCT MOL BIOL,BIOCHEMISTRY & MOLECULAR BIOLOGY,1545-9993,"27,547",13.333,13.095,12.816,3.445,0.081820,7.791,96.546
152,NATURE STRUCTURAL & MOLECULAR BIOLOGY,NAT STRUCT MOL BIOL,BIOPHYSICS,1545-9993,"27,547",13.333,13.095,12.816,3.445,0.081820,7.791,96.546
153,ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,"PHYSICS, APPLIED",1616-301X,"78,965",13.325,12.836,13.274,2.961,0.163070,3.232,94.148
153,ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,"CHEMISTRY, PHYSICAL",1616-301X,"78,965",13.325,12.836,13.274,2.961,0.163070,3.232,94.148
153,ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,NANOSCIENCE & NANOTECHNOLOGY,1616-301X,"78,965",13.325,12.836,13.274,2.961,0.163070,3.232,94.148
153,ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,"CHEMISTRY, MULTIDISCIPLINARY",1616-301X,"78,965",13.325,12.836,13.274,2.961,0.163070,3.232,94.148
153,ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,MATERIALS SCIENCE,1616-301X,"78,965",13.325,12.836,13.274,2.961,0.163070,3.232,94.148
153,ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,"PHYSICS, CONDENSED MATTER",1616-301X,"78,965",13.325,12.836,13.274,2.961,0.163070,3.232,94.148
154,Annual Review of Pharmacology and Toxicology,ANNU REV PHARMACOL,PHARMACOLOGY & PHARMACY,0362-1642,"7,827",13.295,13.230,15.129,4.536,0.010500,5.485,99.064
154,Annual Review of Pharmacology and Toxicology,ANNU REV PHARMACOL,TOXICOLOGY,0362-1642,"7,827",13.295,13.230,15.129,4.536,0.010500,5.485,99.064
155,Annual Review of Clinical Psychology,ANNU REV CLIN PSYCHO,"PSYCHOLOGY, CLINICAL",1548-5943,"4,926",13.278,13.167,17.900,3.19,0.010550,6.959,98.842
155,Annual Review of Clinical Psychology,ANNU REV CLIN PSYCHO,PSYCHOLOGY,1548-5943,"4,926",13.278,13.167,17.900,3.19,0.010550,6.959,98.842
157,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,J ALLERGY CLIN IMMUN,IMMUNOLOGY,0091-6749,"49,229",13.258,11.570,12.704,4.947,0.083800,3.875,97.300
157,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,J ALLERGY CLIN IMMUN,ALLERGY,0091-6749,"49,229",13.258,11.570,12.704,4.947,0.083800,3.875,97.300
158,JOURNAL OF CLINICAL INVESTIGATION,J CLIN INVEST,"MEDICINE, RESEARCH & EXPERIMENTAL",0021-9738,"107,818",13.251,13.093,14.434,2.524,0.165270,5.992,97.368
159,PSYCHOLOGICAL BULLETIN,PSYCHOL BULL,"PSYCHOLOGY, MULTIDISCIPLINARY",0033-2909,"47,657",13.250,13.071,21.986,3.25,0.025950,9.011,97.101
159,PSYCHOLOGICAL BULLETIN,PSYCHOL BULL,PSYCHOLOGY,0033-2909,"47,657",13.250,13.071,21.986,3.25,0.025950,9.011,97.101
161,GENOME BIOLOGY,GENOME BIOL,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,1474-760X,"34,697",13.214,12.767,16.497,1.702,0.118500,8.900,97.883
161,GENOME BIOLOGY,GENOME BIOL,GENETICS & HEREDITY,1474-760X,"34,697",13.214,12.767,16.497,1.702,0.118500,8.900,97.883
162,Materials Horizons,MATER HORIZ,"CHEMISTRY, MULTIDISCIPLINARY",2051-6347,"2,883",13.183,12.937,12.805,2.909,0.008670,3.149,94.269
162,Materials Horizons,MATER HORIZ,MATERIALS SCIENCE,2051-6347,"2,883",13.183,12.937,12.805,2.909,0.008670,3.149,94.269
163,PSYCHOTHERAPY AND PSYCHOSOMATICS,PSYCHOTHER PSYCHOSOM,PSYCHIATRY-SSCI,0033-3190,"3,597",13.122,10.857,9.902,3.522,0.005520,3.035,96.392
163,PSYCHOTHERAPY AND PSYCHOSOMATICS,PSYCHOTHER PSYCHOSOM,PSYCHIATRY-SSCI,0033-3190,"3,597",13.122,10.857,9.902,3.522,0.005520,3.035,96.392
163,PSYCHOTHERAPY AND PSYCHOSOMATICS,PSYCHOTHER PSYCHOSOM,PSYCHOLOGY,0033-3190,"3,597",13.122,10.857,9.902,3.522,0.005520,3.035,96.392
165,Nano Energy,NANO ENERGY,"PHYSICS, APPLIED",2211-2855,"23,023",13.120,12.066,13.619,2.98,0.060880,2.883,94.393
165,Nano Energy,NANO ENERGY,"CHEMISTRY, PHYSICAL",2211-2855,"23,023",13.120,12.066,13.619,2.98,0.060880,2.883,94.393
165,Nano Energy,NANO ENERGY,MATERIALS SCIENCE,2211-2855,"23,023",13.120,12.066,13.619,2.98,0.060880,2.883,94.393
165,Nano Energy,NANO ENERGY,NANOSCIENCE & NANOTECHNOLOGY,2211-2855,"23,023",13.120,12.066,13.619,2.98,0.060880,2.883,94.393
166,Applied Physics Reviews,APPL PHYS REV,"PHYSICS, APPLIED",1931-9401,"1,582",12.894,12.742,15.421,2.737,0.006410,4.901,94.863
167,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,MMWR-MORBID MORTAL W,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",0149-2195,"24,208",12.888,12.451,Not Available,2.071,0.091830,5.981,99.167
168,Annual Review of Marine Science,ANNU REV MAR SCI,MARINE & FRESHWATER BIOLOGY,1941-1405,"3,288",12.867,12.733,16.352,4.158,0.009580,6.442,98.994
168,Annual Review of Marine Science,ANNU REV MAR SCI,GEOCHEMISTRY & GEOPHYSICS,1941-1405,"3,288",12.867,12.733,16.352,4.158,0.009580,6.442,98.994
168,Annual Review of Marine Science,ANNU REV MAR SCI,OCEANOGRAPHY,1941-1405,"3,288",12.867,12.733,16.352,4.158,0.009580,6.442,98.994
169,Living Reviews in Solar Physics,LIVING REV SOL PHYS,ASTRONOMY & ASTROPHYSICS,1614-4961,"1,134",12.833,12.583,18.296,4.0,0.003560,9.569,97.727
170,Alzheimers & Dementia,ALZHEIMERS DEMENT,CLINICAL NEUROLOGY,1552-5260,"10,423",12.740,11.980,12.044,2.618,0.030040,3.993,98.223
171,INTERNATIONAL MATERIALS REVIEWS,INT MATER REV,MATERIALS SCIENCE,0950-6608,"4,577",12.703,12.486,16.102,3.765,0.005260,4.342,94.561
172,Journal of Cachexia Sarcopenia and Muscle,J CACHEXIA SARCOPENI,"MEDICINE, GENERAL & INTERNAL",2190-6009,"2,207",12.511,9.000,9.872,2.598,0.005180,2.188,97.093
172,Journal of Cachexia Sarcopenia and Muscle,J CACHEXIA SARCOPENI,GERIATRICS & GERONTOLOGY,2190-6009,"2,207",12.511,9.000,9.872,2.598,0.005180,2.188,97.093
173,Advanced Science,ADV SCI,"CHEMISTRY, MULTIDISCIPLINARY",2198-3844,"4,030",12.441,12.049,12.515,3.269,0.012110,3.281,92.916
173,Advanced Science,ADV SCI,MATERIALS SCIENCE,2198-3844,"4,030",12.441,12.049,12.515,3.269,0.012110,3.281,92.916
173,Advanced Science,ADV SCI,NANOSCIENCE & NANOTECHNOLOGY,2198-3844,"4,030",12.441,12.049,12.515,3.269,0.012110,3.281,92.916
174,Nature Protocols,NAT PROTOC,'BIOCHEMICAL RESEARCH METHODS,1754-2189,"36,821",12.423,12.245,15.269,2.268,0.086550,7.547,98.101
175,Bone Research,BONE RES,CELL & TISSUE ENGINEERING,2095-4700,977,12.354,12.188,9.051,2.7,0.002400,1.765,93.750
176,Nature Communications,NAT COMMUN,MULTIDISCIPLINARY SCIENCES,2041-1723,"178,348",12.353,11.998,13.691,1.829,0.926560,5.684,96.094
177,ANNALS OF THE RHEUMATIC DISEASES,ANN RHEUM DIS,RHEUMATOLOGY,0003-4967,"41,994",12.350,11.225,11.152,5.361,0.081020,3.812,95.161
178,ACS Energy Letters,ACS ENERGY LETT,ENERGY & FUELS,2380-8195,"3,282",12.277,10.682,12.283,3.226,0.009210,3.866,94.338
178,ACS Energy Letters,ACS ENERGY LETT,"CHEMISTRY, PHYSICAL",2380-8195,"3,282",12.277,10.682,12.283,3.226,0.009210,3.866,94.338
178,ACS Energy Letters,ACS ENERGY LETT,NANOSCIENCE & NANOTECHNOLOGY,2380-8195,"3,282",12.277,10.682,12.283,3.226,0.009210,3.866,94.338
178,ACS Energy Letters,ACS ENERGY LETT,MATERIALS SCIENCE,2380-8195,"3,282",12.277,10.682,12.283,3.226,0.009210,3.866,94.338
178,ACS Energy Letters,ACS ENERGY LETT,ELECTROCHEMISTRY,2380-8195,"3,282",12.277,10.682,12.283,3.226,0.009210,3.866,94.338
179,EUROPEAN RESPIRATORY JOURNAL,EUR RESPIR J,RESPIRATORY SYSTEM,0903-1936,"36,506",12.242,10.711,9.931,3.596,0.056610,3.005,95.763
180,TRENDS IN PLANT SCIENCE,TRENDS PLANT SCI,PLANT SCIENCES,1360-1385,"18,864",12.149,11.732,13.181,2.952,0.025770,4.462,99.324
181,TRENDS IN PHARMACOLOGICAL SCIENCES,TRENDS PHARMACOL SCI,PHARMACOLOGY & PHARMACY,0165-6147,"11,806",12.108,11.980,11.890,2.667,0.018470,3.798,98.276
182,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,ANGEW CHEM INT EDIT,"CHEMISTRY, MULTIDISCIPLINARY",1433-7851,"302,685",12.102,11.264,11.954,2.864,0.571500,3.376,92.105
"CHEMISTRY, MULTIDISCIPLINARY",NANO LETTERS,NANO LETT,"PHYSICS, APPLIED",1530-6984,"153,533",12.080,11.419,14.201,2.351,0.331560,4.291,91.749
"CHEMISTRY, MULTIDISCIPLINARY",NANO LETTERS,NANO LETT,"CHEMISTRY, PHYSICAL",1530-6984,"153,533",12.080,11.419,14.201,2.351,0.331560,4.291,91.749
"CHEMISTRY, MULTIDISCIPLINARY",NANO LETTERS,NANO LETT,"CHEMISTRY, MULTIDISCIPLINARY",1530-6984,"153,533",12.080,11.419,14.201,2.351,0.331560,4.291,91.749
"CHEMISTRY, MULTIDISCIPLINARY",NANO LETTERS,NANO LETT,NANOSCIENCE & NANOTECHNOLOGY,1530-6984,"153,533",12.080,11.419,14.201,2.351,0.331560,4.291,91.749
"CHEMISTRY, MULTIDISCIPLINARY",NANO LETTERS,NANO LETT,MATERIALS SCIENCE,1530-6984,"153,533",12.080,11.419,14.201,2.351,0.331560,4.291,91.749
"CHEMISTRY, MULTIDISCIPLINARY",NANO LETTERS,NANO LETT,"PHYSICS, CONDENSED MATTER",1530-6984,"153,533",12.080,11.419,14.201,2.351,0.331560,4.291,91.749
184,BIOLOGICAL PSYCHIATRY,BIOL PSYCHIAT,PSYCHIATRY-SSCI,0006-3223,"42,494",11.982,11.595,10.884,4.218,0.056910,3.823,96.435
184,BIOLOGICAL PSYCHIATRY,BIOL PSYCHIAT,NEUROSCIENCES,0006-3223,"42,494",11.982,11.595,10.884,4.218,0.056910,3.823,96.435
185,HUMAN REPRODUCTION UPDATE,HUM REPROD UPDATE,OBSTETRICS & GYNECOLOGY,1355-4786,"8,378",11.852,11.568,12.058,2.463,0.013900,4.205,98.833
185,HUMAN REPRODUCTION UPDATE,HUM REPROD UPDATE,REPRODUCTIVE BIOLOGY,1355-4786,"8,378",11.852,11.568,12.058,2.463,0.013900,4.205,98.833
186,TRENDS IN MICROBIOLOGY,TRENDS MICROBIOL,MICROBIOLOGY,0966-842X,"11,344",11.776,11.625,11.149,3.368,0.020970,4.125,96.516
186,TRENDS IN MICROBIOLOGY,TRENDS MICROBIOL,BIOCHEMISTRY & MOLECULAR BIOLOGY,0966-842X,"11,344",11.776,11.625,11.149,3.368,0.020970,4.125,96.516
187,Annual Review of Biophysics,ANNU REV BIOPHYS,BIOPHYSICS,1936-122X,"2,721",11.742,11.677,13.257,2.75,0.009390,6.488,96.528
188,BIOLOGICAL REVIEWS,BIOL REV,BIOLOGY,1464-7931,"11,139",11.700,11.600,11.996,4.904,0.017280,4.463,98.235
189,APPLIED CATALYSIS B-ENVIRONMENTAL,APPL CATAL B-ENVIRON,"ENGINEERING, CHEMICAL",0926-3373,"58,730",11.698,10.235,10.212,4.178,0.071290,1.664,96.433
189,APPLIED CATALYSIS B-ENVIRONMENTAL,APPL CATAL B-ENVIRON,"CHEMISTRY, PHYSICAL",0926-3373,"58,730",11.698,10.235,10.212,4.178,0.071290,1.664,96.433
189,APPLIED CATALYSIS B-ENVIRONMENTAL,APPL CATAL B-ENVIRON,"ENGINEERING, ENVIRONMENTAL",0926-3373,"58,730",11.698,10.235,10.212,4.178,0.071290,1.664,96.433
190,PLOS MEDICINE,PLOS MED,"MEDICINE, GENERAL & INTERNAL",1549-1676,"24,232",11.675,11.350,14.799,2.074,0.058710,6.584,94.481
191,PROGRESS IN RETINAL AND EYE RESEARCH,PROG RETIN EYE RES,OPHTHALMOLOGY,1350-9462,"5,926",11.653,11.040,12.028,2.61,0.010480,4.250,99.153
192,MOLECULAR PSYCHIATRY,MOL PSYCHIATR,PSYCHIATRY-SSCI,1359-4184,"18,460",11.640,11.212,12.439,4.181,0.047200,4.524,96.291
192,MOLECULAR PSYCHIATRY,MOL PSYCHIATR,BIOCHEMISTRY & MOLECULAR BIOLOGY,1359-4184,"18,460",11.640,11.212,12.439,4.181,0.047200,4.524,96.291
192,MOLECULAR PSYCHIATRY,MOL PSYCHIATR,NEUROSCIENCES,1359-4184,"18,460",11.640,11.212,12.439,4.181,0.047200,4.524,96.291
193,STUDIES IN MYCOLOGY,STUD MYCOL,MYCOLOGY,0166-0616,"2,777",11.633,10.367,18.095,2.333,0.004140,4.777,94.828
194,DRUG RESISTANCE UPDATES,DRUG RESIST UPDATE,PHARMACOLOGY & PHARMACY,1368-7646,"2,716",11.630,10.796,11.381,1.313,0.003910,2.924,97.893
195,JOURNAL OF PINEAL RESEARCH,J PINEAL RES,NEUROSCIENCES,0742-3098,"9,079",11.613,8.607,9.584,3.754,0.008600,1.452,96.373
195,JOURNAL OF PINEAL RESEARCH,J PINEAL RES,ENDOCRINOLOGY & METABOLISM,0742-3098,"9,079",11.613,8.607,9.584,3.754,0.008600,1.452,96.373
195,JOURNAL OF PINEAL RESEARCH,J PINEAL RES,PHYSIOLOGY,0742-3098,"9,079",11.613,8.607,9.584,3.754,0.008600,1.452,96.373
196,ASTRONOMY AND ASTROPHYSICS REVIEW,ASTRON ASTROPHYS REV,ASTRONOMY & ASTROPHYSICS,0935-4956,"1,752",11.611,11.444,17.021,1.4,0.005310,8.207,96.212
197,NUCLEIC ACIDS RESEARCH,NUCLEIC ACIDS RES,BIOCHEMISTRY & MOLECULAR BIOLOGY,0305-1048,"168,962",11.561,10.743,10.235,2.268,0.402470,4.279,96.747
198,INTERNATIONAL JOURNAL OF COMPUTER VISION,INT J COMPUT VISION,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",0920-5691,"16,572",11.541,11.318,10.076,0.949,0.025040,4.186,99.621
199,Science Advances,SCI ADV,MULTIDISCIPLINARY SCIENCES,2375-2548,"10,194",11.511,11.335,11.514,1.86,0.057080,5.413,94.531
200,Nature Plants,NAT PLANTS,PLANT SCIENCES,2055-026X,"2,284",11.471,11.256,11.471,3.133,0.012240,5.163,98.874
201,JAMA Neurology,JAMA NEUROL,CLINICAL NEUROLOGY,2168-6149,"6,885",11.460,11.152,10.415,3.391,0.035270,4.161,97.716
202,BIOTECHNOLOGY ADVANCES,BIOTECHNOL ADV,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,0734-9750,"15,722",11.452,11.313,11.848,2.143,0.021940,2.654,97.188
203,TRENDS IN NEUROSCIENCES,TRENDS NEUROSCI,NEUROSCIENCES,0166-2236,"20,061",11.439,11.381,13.581,2.412,0.026860,5.522,95.594
204,NATURAL PRODUCT REPORTS,NAT PROD REP,BIOCHEMISTRY & MOLECULAR BIOLOGY,0265-0568,"9,973",11.406,11.090,10.801,2.377,0.016090,3.465,98.226
"CHEMISTRY, ORGANIC",NATURAL PRODUCT REPORTS,NAT PROD REP,"CHEMISTRY, MEDICINAL",0265-0568,"9,973",11.406,11.090,10.801,2.377,0.016090,3.465,98.226
"CHEMISTRY, ORGANIC",NATURAL PRODUCT REPORTS,NAT PROD REP,"CHEMISTRY, ORGANIC",0265-0568,"9,973",11.406,11.090,10.801,2.377,0.016090,3.465,98.226
205,FEMS MICROBIOLOGY REVIEWS,FEMS MICROBIOL REV,MICROBIOLOGY,0168-6445,"11,237",11.392,11.206,14.892,2.333,0.016410,5.133,94.800
206,Annual Review of Earth and Planetary Sciences,ANNU REV EARTH PL SC,"GEOSCIENCES, MULTIDISCIPLINARY",0084-6597,"7,379",11.391,11.348,11.275,1.25,0.009900,5.486,96.952
206,Annual Review of Earth and Planetary Sciences,ANNU REV EARTH PL SC,ASTRONOMY & ASTROPHYSICS,0084-6597,"7,379",11.391,11.348,11.275,1.25,0.009900,5.486,96.952
207,ACS Catalysis,ACS CATAL,"CHEMISTRY, PHYSICAL",2155-5435,"39,650",11.384,10.587,11.783,2.539,0.118510,2.867,91.438
208,Lancet HIV,LANCET HIV,IMMUNOLOGY,2352-3018,"1,476",11.355,10.645,12.192,4.04,0.007950,5.552,97.051
208,Lancet HIV,LANCET HIV,INFECTIOUS DISEASES,2352-3018,"1,476",11.355,10.645,12.192,4.04,0.007950,5.552,97.051
209,JNCI-Journal of the National Cancer Institute,JNCI-J NATL CANCER I,ONCOLOGY,0027-8874,"37,933",11.238,11.055,12.153,2.579,0.052550,4.997,95.721
210,ACS Central Science,ACS CENTRAL SCI,"CHEMISTRY, MULTIDISCIPLINARY",2374-7943,"2,106",11.228,11.054,11.235,3.0,0.009440,4.600,90.936
211,Autophagy,AUTOPHAGY,CELL BIOLOGY,1554-8627,"14,923",11.100,10.594,11.815,2.014,0.035510,3.583,93.421
212,PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,PROG PART NUCL PHYS,"PHYSICS, NUCLEAR",0146-6410,"3,108",11.049,10.732,5.682,3.677,0.006130,2.316,96.164
212,PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,PROG PART NUCL PHYS,"PHYSICS, PARTICLES & FIELDS",0146-6410,"3,108",11.049,10.732,5.682,3.677,0.006130,2.316,96.164
213,TRENDS IN MOLECULAR MEDICINE,TRENDS MOL MED,"MEDICINE, RESEARCH & EXPERIMENTAL",1471-4914,"9,213",11.021,10.951,11.365,2.014,0.019720,3.931,95.191
213,TRENDS IN MOLECULAR MEDICINE,TRENDS MOL MED,CELL BIOLOGY,1471-4914,"9,213",11.021,10.951,11.365,2.014,0.019720,3.931,95.191
213,TRENDS IN MOLECULAR MEDICINE,TRENDS MOL MED,BIOCHEMISTRY & MOLECULAR BIOLOGY,1471-4914,"9,213",11.021,10.951,11.365,2.014,0.019720,3.931,95.191
214,BRAIN,BRAIN,CLINICAL NEUROLOGY,0006-8950,"52,061",10.840,10.370,11.199,2.561,0.075170,4.254,96.209
214,BRAIN,BRAIN,NEUROSCIENCES,0006-8950,"52,061",10.840,10.370,11.199,2.561,0.075170,4.254,96.209
